id,first_name,last_name,nationality,gender,date_of_birth
57,Tucker,Fredricks,USA,M,1984-04-16
449,Nan,Wang,CHN,M,1987-05-28
891,Stefan,Groothuis,NED,M,1981-11-23
562,Ronald,Mulder,NED,M,1986-02-27
67,Mika,Poutala,FIN,M,1983-06-20
104,Kyou-Hyuk,Lee,KOR,M,1978-03-16
222,Dmitry,Lobkov,RUS,M,1981-02-02
539,Jesper,Hospes,NED,M,1988-10-19
947,Ryohei,Haga,JPN,M,1988-09-17
613,Michel,Mulder,NED,M,1986-02-27
148,Tyler,Derraugh,CAN,M,1986-07-19
497,Alexey,Yesin,RUS,M,1987-12-03
959,Pekka,Koskela,FIN,M,1982-11-29
663,Espen Aarnes,Hvammen,NOR,M,1988-11-13
153,Roman,Krech,KAZ,M,1989-07-14
697,Samuel,Schwarz,GER,M,1983-08-22
456,Ireen,Wüst,NED,F,1986-04-01
489,Christine,Nesbitt,CAN,F,1985-05-17
401,Marrit,Leenstra,NED,F,1989-05-10
333,Monique,Angermüller,GER,F,1984-01-27
854,Yekaterina,Shikhova,RUS,F,1985-06-25
520,Ida,Njåtun,NOR,F,1991-02-06
10,Diane,Valkenburg,NED,F,1984-08-30
314,Claudia,Pechstein,GER,F,1972-02-22
770,Linda,de Vries,NED,F,1976-09-22
660,Cindy,Klassen,CAN,F,1979-08-12
363,Yekaterina,Lobysheva,RUS,F,1985-03-13
811,Martina,Sáblíková,CZE,F,1987-05-27
958,Evgeniia,Lalenkova,RUS,F,1990-09-08
233,Margot,Boer,NED,F,1985-08-07
98,Brittany,Schussler,CAN,F,1985-04-21
936,Nao,Kodaira,JPN,F,1986-05-26
845,Heather,Bergsma,USA,F,1989-03-20
424,Hege,Bøkko,NOR,F,1991-09-05
882,Isabell,Ost,GER,F,1988-10-21
955,Nicole,Garrido,CAN,F,1988-12-29
380,Seon-Yeong,Noh,KOR,F,1989-10-19
555,Brittany,Bowe,USA,F,1988-02-24
701,Shannon,Rempel,CAN,F,1984-11-26
455,Ju-Youn,Lee,KOR,F,1987-10-29
211,Jorrit,Bergsma,NED,M,1986-02-01
464,Sven,Kramer,NED,M,1986-04-23
581,Bob,de Jong,NED,M,1976-11-13
864,Jonathan,Kuck,USA,M,1990-03-14
990,Alexis,Contin,FRA,M,1986-10-19
991,Moritz,Geisreiter,GER,M,1987-12-30
246,Shane,Dobbin,NZL,M,1980-01-22
18,Jan,Blokhuijsen,NED,M,1989-04-01
460,Håvard,Bøkko,NOR,M,1987-02-02
40,Douwe,de Vries,NED,M,1982-06-14
352,Ivan,Skobrev,RUS,M,1983-02-08
199,Patrick,Beckert,GER,M,1990-04-17
756,Sverre Lunde,Pedersen,NOR,M,1992-07-17
538,Marco,Weber,GER,M,1982-09-28
242,Seung-Hoon,Lee,KOR,M,1988-03-06
52,Hiroki,Hirako,JPN,M,1982-08-06
389,Dmitry,Babenko,KAZ,M,1985-03-22
435,Kristian Reistad,Frederiksen,NOR,M,1993-05-10
735,Joshua,Lose,AUS,M,1986-07-03
33,Patrick,Meek,USA,M,1985-11-10
746,Denis,Yuskov,RUS,M,1989-10-11
969,Lucas,Makowsky,CAN,M,1987-05-30
470,Slawomir,Chmura,POL,M,1983-11-05
929,Enrico,Fabris,ITA,M,1981-10-05
